"Facebook Social Network Database (n = 715 observations, m = 21 variables)"																					
Friend 	Age	Photos	# of Tags	Albums	Gender 	Emp	Profile	Cover	Orientation	Relationship	Posts	Replies	MidWest	Seast	West	Children	Likes	Edu	Events	USA	Friends
204	25	165	95	4	1	1	1	1	1	1	5	2	1	0	0	1	14	0	2	1	106
205	29	124	36	5	0	1	1	0	1	1	6	3	1	0	0	1	2	0	1	1	145
206	24	315	187	9	0	1	1	1	1	1	12	15	1	0	0	0	201	0	4	1	394
207	25	125	140	3	1	1	1	1	1	1	3	1	1	0	0	0	3	0	1	1	112
208	46	20	3	1	0	1	1	0	1	1	0	0	1	0	0	1	0	1	0	1	24
209	22	127	671	9	1	1	1	0	1	1	10	12	1	0	0	0	51	0	1	1	360
210	18	229	396	1	0	0	1	0	1	1	49	4	1	0	0	0	30	0	9	1	199
211	20	458	7191	8	1	1	1	1	1	1	24	1	1	0	0	0	36	0	7	1	201
212	18	308	392	9	0	0	1	1	1	0	46	9	1	0	0	0	4	0	20	1	578
213	27	47	431	1	1	1	1	1	1	0	44	23	1	0	0	0	31	0	19	1	187
214	22	40	199	1	0	0	1	1	1	1	0	18	1	0	0	0	36	0	16	1	485
215	37	53	300	7	0	0	1	0	1	0	0	19	1	0	0	0	41	0	27	1	179
216	23	8	430	5	1	1	1	0	1	0	13	5	1	0	0	0	17	0	26	1	293
217	40	3	19	6	0	1	0	1	1	0	21	40	1	0	0	0	36	0	9	1	91
218	36	100	536	6	0	0	0	0	1	0	32	44	1	0	0	0	14	0	13	1	433
219	19	205	264	1	1	0	0	1	1	1	26	10	1	0	0	0	18	0	6	1	36
220	35	34	326	1	0	1	1	0	1	1	8	50	1	0	0	0	14	0	7	1	384
221	22	537	20	2	1	1	0	0	1	1	44	30	1	0	0	0	30	0	15	1	457
222	25	31	214	4	1	1	0	1	1	1	49	45	1	0	0	1	25	0	10	1	557
223	23	319	11	4	1	1	1	0	1	0	7	1	1	0	0	0	47	0	17	1	318
224	33	88	466	6	1	1	1	1	1	0	13	42	1	0	0	0	18	0	29	1	273
225	18	369	579	7	0	0	0	1	1	0	6	46	1	0	0	0	31	0	30	1	534
226	26	157	202	6	0	0	1	1	1	0	16	45	1	0	0	1	3	0	5	1	511
227	39	95	442	1	0	1	1	1	1	1	19	31	1	0	0	0	40	0	12	1	471
228	39	285	325	1	0	0	1	1	1	0	41	16	1	0	0	0	9	0	4	1	287
229	20	50	35	4	1	1	0	1	1	0	43	48	1	0	0	1	38	0	17	1	50
230	20	1394	1008	34	0	0	1	0	1	0	12	10	1	0	0	0	30	0	0	1	926
231	21	93	237	7	1	0	1	0	1	0	24	16	1	0	0	0	93	0	1	1	727
232	22	45	379	4	1	1	1	1	1	1	12	10	1	0	0	0	20	0	2	1	816
233	21	348	677	13	1	1	1	0	1	1	168	31	1	0	0	0	95	0	5	1	1355
234	19	46	12	10	1	0	1	0	1	0	1	0	1	0	0	0	339	1	1	1	358
235	20	24	102	4	1	0	1	0	1	0	4	0	1	0	0	0	38	0	4	1	422
236	21	245	237	16	1	0	1	0	1	0	36	8	1	0	0	0	365	0	3	1	813
237	21	63	174	5	1	0	1	0	1	1	12	1	1	0	0	0	109	0	2	1	726
238	20	757	1020	43	0	1	1	1	1	0	31	11	1	0	0	0	303	0	1	1	677
239	46	24	48	11	1	1	1	0	1	1	2	0	1	0	0	1	82	0	0	1	330
240	19	134	128	8	0	0	1	1	1	0	138	4	1	0	0	0	2619	1	20	1	4951
241	20	226	718	14	1	0	1	1	1	1	10	6	1	0	0	0	1064	0	3	1	1015
242	20	1	1	2	1	0	1	0	1	0	2	0	1	0	0	0	2	0	0	1	43
243	20	48	397	6	1	1	1	1	1	1	2	0	1	0	0	0	324	0	0	1	405
244	15	44	30	6	1	0	1	1	1	0	6	5	1	0	0	0	139	1	3	1	542
245	22	104	903	17	1	0	1	0	1	0	18	8	1	0	0	0	156	0	6	1	1503
246	23	515	267	22	1	0	1	0	1	0	13	4	1	0	0	0	799	0	3	1	1134
247	21	200	184	15	1	1	1	0	1	1	37	25	1	0	0	0	1597	0	2	1	719
248	20	75	459	8	1	0	1	1	1	0	33	5	1	0	0	0	117	0	9	1	1703
249	46	283	103	35	1	1	1	1	1	1	25	63	1	0	0	1	114	0	0	1	500
250	20	161	573	13	0	0	1	1	1	1	9	6	1	0	0	0	30	0	4	1	710
251	22	197	190	5	1	1	1	1	1	0	55	92	1	0	0	0	18	1	10	1	569
252	23	1788	1602	22	0	1	1	1	1	0	128	225	1	0	0	0	12	0	4	1	1522
253	24	305	1	13	0	1	0	1	1	1	2	0	1	0	0	0	64	0	10	1	470
254	20	1222	1200	4	1	1	1	1	1	0	48	97	1	0	0	0	21	0	11	1	997
255	19	52	50	1	1	1	1	1	1	0	56	152	1	0	0	0	8	0	6	1	125
256	22	136	136	3	1	1	1	1	1	1	24	9	1	0	0	1	4	0	7	1	452
257	22	852	852	8	1	1	1	1	1	0	165	145	1	0	0	0	9	0	4	1	674
258	25	1395	730	35	1	1	1	0	1	0	203	250	1	0	0	0	13	1	4	1	852
259	29	289	287	3	0	1	1	1	1	0	9	12	1	0	0	0	8	1	4	1	328
260	52	48	48	2	0	1	1	1	1	0	15	10	1	0	0	3	7	0	3	1	247
261	17	27	27	1	1	1	1	1	1	1	2	3	1	0	0	0	0	1	1	1	95
262	20	2276	2253	31	0	1	1	0	1	1	175	145	1	0	0	0	5	1	1	1	1022
263	22	452	452	6	1	1	1	1	1	1	91	115	0	0	0	0	9	0	8	0	782
264	22	789	712	9	0	1	1	1	1	0	16	22	1	0	0	0	11	0	12	1	521
265	23	67	61	1	0	1	1	1	1	0	14	3	1	0	0	0	2	0	9	1	153
266	24	621	603	8	0	1	1	1	1	1	79	56	1	0	0	0	20	1	7	1	842
267	25	15	15	1	1	1	1	0	1	1	1	0	1	0	0	0	0	1	10	1	78
268	21	267	267	3	1	1	1	1	1	1	4	0	1	0	0	0	1	0	2	1	156
269	22	98	98	2	1	1	1	1	1	1	9	2	1	0	0	0	3	0	3	1	102
270	20	1784	1692	19	1	1	1	1	1	1	89	43	1	0	0	0	17	0	4	1	1356
271	34	17	17	1	1	1	1	1	1	1	5	1	1	0	0	1	1	0	0	1	45
272	18	197	140	5	1	1	1	1	1	0	5	14	1	0	0	0	12	1	2	1	654
273	16	289	189	8	1	1	1	1	1	0	7	26	1	0	0	0	16	1	0	1	425
274	17	324	126	2	1	1	1	1	1	0	13	32	1	0	0	0	39	1	4	1	704
275	18	67	12	8	1	1	1	0	1	0	5	14	1	0	0	0	6	1	1	1	231
276	22	54	24	12	1	1	1	0	1	0	12	45	1	0	0	0	14	1	2	1	782
277	22	604	204	10	0	0	1	0	1	1	18	14	1	0	0	0	35	0	0	1	871
278	17	266	125	20	0	1	1	0	1	1	16	16	1	0	0	0	34	0	0	1	2039
279	21	874	312	24	0	1	1	0	1	1	2	28	1	0	0	0	4	0	0	1	1580
280	18	1067	569	19	0	1	1	0	1	1	8	24	1	0	0	0	15	1	6	1	1530
281	20	456	102	8	0	1	1	0	1	0	14	17	1	0	0	0	29	1	7	1	489
282	20	249	21	6	1	1	1	1	1	1	16	29	1	0	0	0	24	0	4	1	520
283	17	42	15	3	1	1	1	0	1	0	26	28	1	0	0	0	54	1	2	1	478
284	22	86	41	4	1	0	1	0	1	0	1	48	1	0	0	0	103	0	1	1	255
285	18	47	6	2	1	0	1	0	1	1	7	26	1	0	0	0	59	1	0	1	415
286	26	910	103	13	0	1	1	1	1	0	13	15	1	0	0	0	13	0	4	1	893
287	35	845	105	16	0	1	1	0	1	1	2	26	1	0	0	1	18	0	0	1	458
288	27	105	41	6	1	1	1	0	1	1	8	15	1	0	0	0	69	0	0	1	417
289	21	164	76	4	1	1	1	0	1	1	9	14	1	0	0	0	16	0	2	1	654
290	18	41	23	2	1	0	1	0	1	1	4	9	1	0	0	0	18	1	1	1	254
291	17	48	12	3	1	0	1	1	1	1	12	4	1	0	0	0	17	1	0	1	189
292	26	201	23	6	0	1	1	0	1	1	1	2	1	0	0	0	9	0	0	1	54
293	21	88	25	4	0	1	1	1	1	0	10	10	1	0	0	0	0	0	0	1	120
294	24	120	30	3	1	1	1	1	1	0	9	7	1	0	0	0	0	0	0	1	180
295	19	153	42	5	1	0	0	1	1	0	8	6	1	0	0	0	1	1	0	1	121
296	22	133	44	3	0	0	1	1	1	1	12	10	1	0	0	0	1	0	0	1	200
297	20	200	80	4	0	1	1	1	1	1	13	8	1	0	0	0	1	0	0	0	122
298	25	170	50	5	0	1	1	1	1	1	11	9	0	0	0	0	0	0	0	0	100
299	15	400	100	7	0	1	1	1	1	1	12	10	0	0	0	0	0	1	0	0	523
300	17	250	77	1	0	1	1	1	1	0	15	15	0	0	0	0	0	1	0	1	400
